type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2025-02-13 09:39:42+0000,2772,2.7427158,0.37835422,1613.0,1.716,393.0
16,2025-02-12 09:37:17+0000,4532,0.0,0.24204707,3020.0,1.5,663.0
16,2025-02-01 12:41:31+0000,2855,0.0,0.31827074,2176.0,1.311,468.0
16,2025-01-31 10:35:23+0000,3068,0.0,0.3207694,3285.0,0.933,562.0
1,2025-01-31 10:01:49+0000,1161,1.8911873,0.23422866,3023.0,0.384,260.0
1,2025-01-29 10:18:58+0000,1500,1.8281536,0.4606172,2874.0,0.5214987,339.0
1,2025-01-25 11:54:53+0000,3823,2.2681847,0.08675182,10048.0,0.38,896.0
16,2025-01-23 11:01:26+0000,2277,0.0,0.45241663,1151.0,1.976,360.0
1,2025-01-23 10:19:50+0000,1374,2.6201267,0.18418796,3753.0,0.365,323.0
16,2025-01-22 11:20:52+0000,1501,0.0,0.3865008,469.0,3.195,234.0
1,2025-01-22 10:27:09+0000,1277,3.129466,0.17053638,3074.0,0.415,281.0
16,2025-01-17 11:16:54+0000,3283,0.0,0.48616156,1546.0,2.121,631.0
1,2025-01-17 10:44:07+0000,1615,1.8281536,0.46425253,3032.0,0.53230876,382.0
16,2025-01-16 11:22:17+0000,2613,3.4283946,0.32640016,996.0,2.622,515.0
1,2025-01-16 11:00:31+0000,960,6.3694267,0.08241984,3079.0,0.31139958,234.0
1,2025-01-16 10:54:19+0000,329,3.3898306,0.135318,1224.0,0.26861274,71.0
16,2025-01-15 23:20:03+0000,1934,4.5711927,0.4984645,356.0,2.515,328.0
1,2025-01-15 22:42:07+0000,1591,2.7777777,0.46168053,3065.0,0.5189721,366.0
16,2025-01-08 12:09:20+0000,944,1.8284771,0.44369078,569.0,1.661,195.0
1,2025-01-08 11:50:06+0000,963,1.7361112,0.1223092,3089.0,0.31171602,237.0
16,2025-01-07 11:08:24+0000,818,0.0,0.38283938,116.0,7.027,143.0
1,2025-01-07 10:39:25+0000,1123,1.8281536,0.4327131,2049.0,0.54806644,235.0
6,2025-01-06 22:21:03+0000,2607,7.3529406,0.373413,2842.0,0.91688955,258.0
6,2025-01-06 00:41:57+0000,2427,3.7453184,0.46425253,3351.0,0.7240764,345.0
